"Old_ID","ID","species","old_species"
"3019355_R_1084_DIV_22_5_S103_L001_R1_001.unique.mapped.sorted.bam","R_1084_DIV_22_5","Secale cereale","Secale cereale"
"3019356_R_1185_DIV_22_5_S114_L001_R1_001.unique.mapped.sorted.bam","R_1185_DIV_22_5","Secale cereale","Secale cereale"
"3019357_R_1213_DIV_22_5_S124_L001_R1_001.unique.mapped.sorted.bam","R_1213_DIV_22_5","Secale cereale","Secale cereale"
"3019358_R_1257_DIV_22_5_S135_L001_R1_001.unique.mapped.sorted.bam","R_1257_DIV_22_5","Secale cereale","Secale cereale"
"3019359_R_1384_DIV_22_5_S145_L001_R1_001.unique.mapped.sorted.bam","R_1384_DIV_22_5","Secale cereale","Secale cereale"
"3019360_R_1450_DIV_22_5_S155_L001_R1_001.unique.mapped.sorted.bam","R_1450_DIV_22_5","Secale cereale","Secale cereale"
"3019361_R_1890_DIV_22_4_S165_L001_R1_001.unique.mapped.sorted.bam","R_1890_DIV_22_4","Secale cereale","Secale cereale"
"3019362_R_1972_DIV_22_3_S175_L001_R1_001.unique.mapped.sorted.bam","R_1972_DIV_22_3","Secale cereale","Secale cereale"
"3019363_R_1084_DIV_22_6_S104_L001_R1_001.unique.mapped.sorted.bam","R_1084_DIV_22_6","Secale cereale","Secale cereale"
"3019364_R_1185_DIV_22_6_S115_L001_R1_001.unique.mapped.sorted.bam","R_1185_DIV_22_6","Secale cereale","Secale cereale"
"3019365_LO7_S125_L001_R1_001.unique.mapped.sorted.bam","LO7_S125_L001_R1_001","Secale cereale","Secale cereale"
"3019366_R_1572_DIV_22_3_S176_L002_R1_001.unique.mapped.sorted.bam","R_1572_DIV_22_3","Secale cereale","Secale cereale"
"3019367_R_2229_DIV_22_1_S188_L002_R1_001.unique.mapped.sorted.bam","R_2229_DIV_22_1","Secale cereale","Secale cereale"
"3019368_R_1090_DIV_22_3_S200_L002_R1_001.unique.mapped.sorted.bam","R_1090_DIV_22_3","Secale cereale","Secale cereale"
"3019369_R_2082_DIV_22_1_S212_L002_R1_001.unique.mapped.sorted.bam","R_2082_DIV_22_1","Secale cereale","Secale cereale"
"3019370_R_2596_DIV_22_2_S224_L002_R1_001.unique.mapped.sorted.bam","R_2596_DIV_22_2","Secale vavilovii x cereale","Secale vavilovii x cereale"
"3019371_R_2863_DIV_22_3_S236_L002_R1_001.unique.mapped.sorted.bam","R_2863_DIV_22_3","Secale cereale","Secale cereale"
"3019373_R_2606_DIV_22_1_S258_L002_R1_001.unique.mapped.sorted.bam","R_2606_DIV_22_1","Secale cereale","Secale cereale"
"3019375_R_2229_DIV_22_4_S189_L002_R1_001.unique.mapped.sorted.bam","R_2229_DIV_22_4","Secale cereale","Secale cereale"
"3019376_R_1090_DIV_22_4_S201_L002_R1_001.unique.mapped.sorted.bam","R_1090_DIV_22_4","Secale cereale","Secale cereale"
"3019377_R_2082_DIV_22_2_S213_L002_R1_001.unique.mapped.sorted.bam","R_2082_DIV_22_2","Secale cereale","Secale cereale"
"3019378_R_2596_DIV_22_4_S225_L002_R1_001.unique.mapped.sorted.bam","R_2596_DIV_22_4","Secale vavilovii x cereale","Secale vavilovii x cereale"
"3019379_R_2863_DIV_22_5_S237_L002_R1_001.unique.mapped.sorted.bam","R_2863_DIV_22_5","Secale cereale","Secale cereale"
"3019380_R_1572_DIV_22_5_S248_L002_R1_001.unique.mapped.sorted.bam","R_1572_DIV_22_5","Secale cereale","Secale cereale"
"3019381_R_2606_DIV_22_3_S259_L002_R1_001.unique.mapped.sorted.bam","R_2606_DIV_22_3","Secale cereale","Secale cereale"
"3019382_R_1972_DIV_22_6_S178_L002_R1_001.unique.mapped.sorted.bam","R_1972_DIV_22_6","Secale cereale","Secale cereale"
"3019383_R_2229_DIV_22_5_S190_L002_R1_001.unique.mapped.sorted.bam","R_2229_DIV_22_5","Secale cereale","Secale cereale"
"3019384_R_1090_DIV_22_5_S202_L002_R1_001.unique.mapped.sorted.bam","R_1090_DIV_22_5","Secale cereale","Secale cereale"
